Wind Speed;Production;Actual Production;Difference;SMP;Forecasting error;0.07
11.7;7000;7132;-132;91.81;;
11.1;7000;7220;-220;88.32;;
11.9;7000;7533;-533;74.96;;
7.9;3510;3516;-6;65.09;;
8.5;4571;4810;-239;59.79;;
10.3;7000;8114;-1114;60.24;;
12.8;7000;7329;-329;50.87;;
12.2;7000;6677;323;49;;
13.2;7000;7145;-145;46;;
11.6;7000;7030;-30;46;;
13.8;7000;7405;-405;47.64;;
12.7;7000;6087;913;56.41;;
11.7;7000;6501;499;69.97;;
13.5;7000;7523;-523;75.73;;
13.5;7000;8157;-1157;84.05;;
13.2;7000;7303;-303;73.13;;
13.2;7000;7148;-148;64;;
13.6;7000;7057;-57;69.97;;
13.5;7000;6909;91;62.44;;
14.1;7000;7055;-55;60.14;;
15.2;7000;7579;-579;69.97;;
14.5;7000;6568;432;67.62;;
14.4;7000;6879;121;72.31;;
13.5;7000;7501;-501;75.57;;
12.6;7000;6919;81;76.09;;
13.7;7000;7319;-319;71;;
14.5;7000;7099;-99;64.54;;
14;7000;6818;182;61.15;;
12.7;7000;7583;-583;59;;
13.6;7000;7082;-82;50.1;;
11.1;7000;6937;63;48.4;;
11.8;7000;6911;89;45.07;;
12.7;7000;7132;-132;41.6;;
11.7;7000;7420;-420;41.02;;
10.9;7000;6534;466;45.1;;
11;7000;6758;242;52.95;;
9.8;7000;6859;141;62.64;;
10.4;7000;7349;-349;68.9;;
11.9;7000;7064;-64;78.62;;
11;7000;8537;-1537;72.63;;
11.5;7000;7291;-291;64.01;;
9.2;5871;6243;-371;63.73;;
10.4;7000;6471;529;56.95;;
9.8;7000;6208;792;60.8;;
11.8;7000;6747;253;63.89;;
10.7;7000;7278;-278;60.91;;
9.1;5678;5051;627;67.03;;
10.8;7000;6748;252;71.69;;
10.8;7000;5817;1183;71.69;;
7.8;3361;3589;-228;67.25;;
8.7;4936;5150;-214;64.76;;
7.7;3213;3544;-331;61.27;;
6.4;1842;1741;101;55.19;;
6.5;1897;1909;-12;46.29;;
8;3658;3314;344;42.9;;
9.5;6378;6070;309;38.09;;
8;3658;3976;-318;31.93;;
6.7;2008;2226;-217;30.89;;
6.9;2119;2172;-53;36.63;;
9.8;7000;6326;674;40;;
11.2;7000;6711;289;60;;
8.7;4936;5086;-150;69.91;;
7.1;2323;2475;-152;80;;
8.5;4571;4359;213;69.97;;
8.7;4936;4930;6;53.47;;
10.3;7000;7527;-527;61.03;;
10.1;7000;6669;331;57.1;;
11.4;7000;7350;-350;53.65;;
11.3;7000;7747;-747;57.1;;
11.1;7000;7044;-44;66.48;;
11.5;7000;7224;-224;69.26;;
11.1;7000;7238;-238;73;;
10.7;7000;7012;-12;70.49;;
11.3;7000;6871;129;66.89;;
10.2;7000;7361;-361;62.99;;
9.6;6627;7580;-953;57.1;;
8.9;5302;4877;425;49.65;;
10;7000;6519;481;46.64;;
10.1;7000;7413;-413;51.19;;
10.5;7000;7026;-26;46.97;;
10.9;7000;6521;479;44.38;;
10.7;7000;7048;-48;42.31;;
10.7;7000;7422;-422;38.91;;
9.7;6876;6788;87;41.97;;
9.8;7000;7106;-106;46.75;;
10.5;7000;6753;247;54.04;;
10.7;7000;7136;-136;48.46;;
10.1;7000;7473;-473;57;;
10.6;7000;6507;493;55.12;;
11;7000;8225;-1225;56.63;;
11.1;7000;6586;414;56.63;;
9.4;6214;6427;-213;52;;
11.1;7000;6541;459;51;;
10.7;7000;6679;321;53.65;;
10.3;7000;7302;-302;50.08;;
9;5484;5615;-130;56.63;;
8.8;5119;4923;196;53.33;;
9.8;7000;6802;198;46.75;;
10.4;7000;7260;-260;42.89;;
10.7;7000;6275;725;26.95;;
11.1;7000;6678;322;24.24;;
10.6;7000;8457;-1457;35.81;;
10.6;7000;6779;221;29.13;;
9.5;6378;6210;169;25;;
11.2;7000;7250;-250;27.38;;
12.4;7000;6472;528;26.25;;
12.2;7000;6118;882;38.91;;
11;7000;6826;174;31.52;;
10.6;7000;6358;642;40.56;;
9.1;5678;5736;-58;41.97;;
9.3;6050;5870;180;46.87;;
7.5;2916;2998;-82;48.24;;
5.8;1478;1495;-16;48.09;;
7.4;2768;2832;-64;48.09;;
8;3658;3515;143;49;;
5.4;1194;1129;66;46.2;;
8.9;5302;5572;-270;44.34;;
10.2;7000;6454;546;45.93;;
11;7000;7721;-721;46.75;;
10.8;7000;6966;34;56.67;;
10.6;7000;6898;102;53.33;;
12.1;7000;6622;378;53.33;;
11.8;7000;6771;229;53.33;;
11.1;7000;7440;-440;52.99;;
11.2;7000;6993;7;39.88;;
12;7000;6702;298;45.01;;
12.6;7000;6732;268;20.07;;
12.2;7000;6257;743;30.92;;
11.9;7000;7437;-437;10;;
12.4;7000;6527;473;10;;
12;7000;6801;199;23.06;;
12;7000;6479;521;45.66;;
11.9;7000;7125;-125;61.95;;
10.6;7000;6903;97;68;;
10.1;7000;6500;500;60.77;;
10.1;7000;8105;-1105;49.42;;
9.9;7000;6887;113;44.05;;
11.1;7000;7440;-440;39.11;;
12.4;7000;7407;-407;39.99;;
10.1;7000;6791;209;32.83;;
11.1;7000;6980;20;40.11;;
11.3;7000;7435;-435;50;;
11.8;7000;6718;282;57.07;;
11.9;7000;7052;-52;66.65;;
11.5;7000;6080;920;69.97;;
