Wind Speed;Production;SMP;Rounded Prod
12.1;1750;73.48;7000
12.4;1750;77.67;7000
12.1;1750;84.53;7000
11.9;1750;95.9;7000
11.7;1750;91.81;7000
11.1;1750;88.32;7000
11.9;1750;74.96;7000
7.9;877.4;65.09;3509.6
8.5;1142.8;59.79;4571.2
10.3;1750;60.24;7000
12.8;1750;50.87;7000
12.2;1750;49;7000
13.2;1750;46;7000
11.6;1750;46;7000
13.8;1750;47.64;7000
12.7;1750;56.41;7000
11.7;1750;69.97;7000
13.5;1750;75.73;7000
13.5;1750;84.05;7000
13.2;1750;73.13;7000
13.2;1750;64;7000
13.6;1750;69.97;7000
13.5;1750;62.44;7000
14.1;1750;60.14;7000
15.2;1750;69.97;7000
14.5;1750;67.62;7000
14.4;1750;72.31;7000
13.5;1750;75.57;7000
12.6;1750;76.09;7000
13.7;1750;71;7000
14.5;1750;64.54;7000
14;1750;61.15;7000
12.7;1750;59;7000
13.6;1750;50.1;7000
11.1;1750;48.4;7000
11.8;1750;45.07;7000
12.7;1750;41.6;7000
11.7;1750;41.02;7000
10.9;1750;45.1;7000
11;1750;52.95;7000
9.8;1750;62.64;7000
10.4;1750;68.9;7000
11.9;1750;78.62;7000
11;1750;72.63;7000
11.5;1750;64.01;7000
9.2;1467.83;63.73;5871.32
10.4;1750;56.95;7000
9.8;1750;60.8;7000
11.8;1750;63.89;7000
10.7;1750;60.91;7000
9.1;1419.47;67.03;5677.88
10.8;1750;71.69;7000
10.8;1750;71.69;7000
7.8;840.33;67.25;3361.32
8.7;1234.12;64.76;4936.48
7.7;803.25;61.27;3213
6.4;460.5;55.19;1842
6.5;474.37;46.29;1897.48
8;914.48;42.9;3657.92
9.5;1594.57;38.09;6378.28
8;914.48;31.93;3657.92
6.7;502.11;30.89;2008.44
6.9;529.85;36.63;2119.4
9.8;1750;40;7000
11.2;1750;60;7000
8.7;1234.12;69.91;4936.48
7.1;580.8;80;2323.2
8.5;1142.8;69.97;4571.2
8.7;1234.12;53.47;4936.48
10.3;1750;61.03;7000
10.1;1750;57.1;7000
11.4;1750;53.65;7000
11.3;1750;57.1;7000
11.1;1750;66.48;7000
11.5;1750;69.26;7000
11.1;1750;73;7000
10.7;1750;70.49;7000
11.3;1750;66.89;7000
10.2;1750;62.99;7000
9.6;1656.74;57.1;6626.96
8.9;1325.45;49.65;5301.8
10;1750;46.64;7000
10.1;1750;51.19;7000
10.5;1750;46.97;7000
10.9;1750;44.38;7000
10.7;1750;42.31;7000
10.7;1750;38.91;7000
9.7;1718.91;41.97;6875.64
9.8;1750;46.75;7000
10.5;1750;54.04;7000
10.7;1750;48.46;7000
10.1;1750;57;7000
10.6;1750;55.12;7000
11;1750;56.63;7000
11.1;1750;56.63;7000
9.4;1553.55;52;6214.2
11.1;1750;51;7000
10.7;1750;53.65;7000
10.3;1750;50.08;7000
9;1371.11;56.63;5484.44
8.8;1279.78;53.33;5119.12
9.8;1750;46.75;7000
10.4;1750;42.89;7000
10.7;1750;26.95;7000
11.1;1750;24.24;7000
10.6;1750;35.81;7000
10.6;1750;29.13;7000
